/Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/venv/bin/python /Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/src/orderservice_9002/orders2.py
Frontendservice is down to find the leader node.
socket order service is listening
Connected to : 127.0.0.1 : 55510
Connected to : 127.0.0.1 : 55515
Connected to : 127.0.0.1 : 55524
Connected to : 127.0.0.1 : 55533
Connected to : 127.0.0.1 : 55536
Connected to : 127.0.0.1 : 55540
Connected to : 127.0.0.1 : 55545
Connected to : 127.0.0.1 : 55553
Connected to : 127.0.0.1 : 55564
Connected to : 127.0.0.1 : 55567
Connected to : 127.0.0.1 : 55571
Connected to : 127.0.0.1 : 55576
Connected to : 127.0.0.1 : 55583
Connected to : 127.0.0.1 : 55592
Connected to : 127.0.0.1 : 55597
Connected to : 127.0.0.1 : 55601
Connected to : 127.0.0.1 : 55606
Connected to : 127.0.0.1 : 55614
Connected to : 127.0.0.1 : 55623
Connected to : 127.0.0.1 : 55631
Connected to : 127.0.0.1 : 55634
Connected to : 127.0.0.1 : 55638
Connected to : 127.0.0.1 : 55643
Connected to : 127.0.0.1 : 55654
Connected to : 127.0.0.1 : 55660
Connected to : 127.0.0.1 : 55664
Connected to : 127.0.0.1 : 55667
Connected to : 127.0.0.1 : 55671
Connected to : 127.0.0.1 : 55683
Connected to : 127.0.0.1 : 55689
Connected to : 127.0.0.1 : 55694
Connected to : 127.0.0.1 : 55697
Connected to : 127.0.0.1 : 55701
Connected to : 127.0.0.1 : 55712
Connected to : 127.0.0.1 : 55722
Connected to : 127.0.0.1 : 55726
Connected to : 127.0.0.1 : 55731
Connected to : 127.0.0.1 : 55734
Connected to : 127.0.0.1 : 55742
Connected to : 127.0.0.1 : 55752
Connected to : 127.0.0.1 : 55758
Connected to : 127.0.0.1 : 55764
Connected to : 127.0.0.1 : 55769
Connected to : 127.0.0.1 : 55773
Connected to : 127.0.0.1 : 55778
Connected to : 127.0.0.1 : 55784
Connected to : 127.0.0.1 : 55797
Connected to : 127.0.0.1 : 55803
Connected to : 127.0.0.1 : 55809
Connected to : 127.0.0.1 : 55814
Connected to : 127.0.0.1 : 55820
Connected to : 127.0.0.1 : 55825
Connected to : 127.0.0.1 : 55833
Connected to : 127.0.0.1 : 55842
Connected to : 127.0.0.1 : 55847
Connected to : 127.0.0.1 : 55851
Connected to : 127.0.0.1 : 55856
Connected to : 127.0.0.1 : 55865
Connected to : 127.0.0.1 : 55878
Connected to : 127.0.0.1 : 55885
Connected to : 127.0.0.1 : 55888
Connected to : 127.0.0.1 : 55892
Connected to : 127.0.0.1 : 55897
Connected to : 127.0.0.1 : 55905
Connected to : 127.0.0.1 : 55916
Connected to : 127.0.0.1 : 55925
Connected to : 127.0.0.1 : 55928
Connected to : 127.0.0.1 : 55932
Connected to : 127.0.0.1 : 55937
Connected to : 127.0.0.1 : 55945
Connected to : 127.0.0.1 : 55955
Connected to : 127.0.0.1 : 55964
Connected to : 127.0.0.1 : 55971
Connected to : 127.0.0.1 : 55976
Connected to : 127.0.0.1 : 55981
Connected to : 127.0.0.1 : 55988
Connected to : 127.0.0.1 : 55992
Connected to : 127.0.0.1 : 56001
Connected to : 127.0.0.1 : 56007
Connected to : 127.0.0.1 : 56013
Connected to : 127.0.0.1 : 56021
Connected to : 127.0.0.1 : 56029
Connected to : 127.0.0.1 : 56033
Connected to : 127.0.0.1 : 56037
Connected to : 127.0.0.1 : 56043
Connected to : 127.0.0.1 : 56050
Connected to : 127.0.0.1 : 56059
Connected to : 127.0.0.1 : 56067
Connected to : 127.0.0.1 : 56071
Connected to : 127.0.0.1 : 56074
Connected to : 127.0.0.1 : 56078
Connected to : 127.0.0.1 : 56090
Connected to : 127.0.0.1 : 56098
Connected to : 127.0.0.1 : 56104
Connected to : 127.0.0.1 : 56109
Connected to : 127.0.0.1 : 56114
Connected to : 127.0.0.1 : 56122
Connected to : 127.0.0.1 : 56130
Connected to : 127.0.0.1 : 56135
Connected to : 127.0.0.1 : 56140
Connected to : 127.0.0.1 : 56145
Connected to : 127.0.0.1 : 56152
Connected to : 127.0.0.1 : 56158
Connected to : 127.0.0.1 : 56170
Connected to : 127.0.0.1 : 56178
Connected to : 127.0.0.1 : 56183
Connected to : 127.0.0.1 : 56188
Connected to : 127.0.0.1 : 56191
Connected to : 127.0.0.1 : 56195
Connected to : 127.0.0.1 : 56215
Connected to : 127.0.0.1 : 56223
Connected to : 127.0.0.1 : 56226
Connected to : 127.0.0.1 : 56230
Connected to : 127.0.0.1 : 56235
Connected to : 127.0.0.1 : 56243
Connected to : 127.0.0.1 : 56251
Connected to : 127.0.0.1 : 56257
Connected to : 127.0.0.1 : 56263
Connected to : 127.0.0.1 : 56269
Connected to : 127.0.0.1 : 56275
Connected to : 127.0.0.1 : 56287
Connected to : 127.0.0.1 : 56292
Connected to : 127.0.0.1 : 56298
Connected to : 127.0.0.1 : 56303
Connected to : 127.0.0.1 : 56307
Connected to : 127.0.0.1 : 56313
Connected to : 127.0.0.1 : 56323
Connected to : 127.0.0.1 : 56331
Connected to : 127.0.0.1 : 56336
Connected to : 127.0.0.1 : 56340
Connected to : 127.0.0.1 : 56349
Connected to : 127.0.0.1 : 56355
Connected to : 127.0.0.1 : 56361
Connected to : 127.0.0.1 : 56365
Connected to : 127.0.0.1 : 56372
