/Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/venv/bin/python /Users/mkonidala/Downloads/DOS/lab3-spring22-susmitha-muni/src/orderservice_9002/orders2.py
Leader Node Port:  9000
socket order service is listening
Connected to : 127.0.0.1 : 65267
Connected to : 127.0.0.1 : 65277
Connected to : 127.0.0.1 : 65280
Connected to : 127.0.0.1 : 65285
Connected to : 127.0.0.1 : 65290
Connected to : 127.0.0.1 : 65293
Connected to : 127.0.0.1 : 65305
Connected to : 127.0.0.1 : 65311
Connected to : 127.0.0.1 : 65320
Connected to : 127.0.0.1 : 65322
Connected to : 127.0.0.1 : 65329
Connected to : 127.0.0.1 : 65333
Connected to : 127.0.0.1 : 65348
Connected to : 127.0.0.1 : 65355
Connected to : 127.0.0.1 : 65362
Connected to : 127.0.0.1 : 65366
Connected to : 127.0.0.1 : 65371
Connected to : 127.0.0.1 : 65377
Connected to : 127.0.0.1 : 65385
Connected to : 127.0.0.1 : 65388
Connected to : 127.0.0.1 : 65394
Connected to : 127.0.0.1 : 65399
Connected to : 127.0.0.1 : 65405
Connected to : 127.0.0.1 : 65411
Connected to : 127.0.0.1 : 65416
Connected to : 127.0.0.1 : 65422
Connected to : 127.0.0.1 : 65431
Connected to : 127.0.0.1 : 65441
Connected to : 127.0.0.1 : 65449
Connected to : 127.0.0.1 : 65454
Connected to : 127.0.0.1 : 65456
Connected to : 127.0.0.1 : 65463
Connected to : 127.0.0.1 : 65469
Connected to : 127.0.0.1 : 65473
Connected to : 127.0.0.1 : 65482
Connected to : 127.0.0.1 : 65486
Connected to : 127.0.0.1 : 65491
Connected to : 127.0.0.1 : 65496
Connected to : 127.0.0.1 : 65504
Connected to : 127.0.0.1 : 65514
Connected to : 127.0.0.1 : 65517
Connected to : 127.0.0.1 : 65522
Connected to : 127.0.0.1 : 65531
Connected to : 127.0.0.1 : 49152
Connected to : 127.0.0.1 : 49159
Connected to : 127.0.0.1 : 49163
Connected to : 127.0.0.1 : 49171
Connected to : 127.0.0.1 : 49177
Connected to : 127.0.0.1 : 49183
Connected to : 127.0.0.1 : 49188
Connected to : 127.0.0.1 : 49194
Connected to : 127.0.0.1 : 49198
Connected to : 127.0.0.1 : 49209
Connected to : 127.0.0.1 : 49213
Connected to : 127.0.0.1 : 49219
Connected to : 127.0.0.1 : 49223
Connected to : 127.0.0.1 : 49233
Connected to : 127.0.0.1 : 49235
Connected to : 127.0.0.1 : 49242
Connected to : 127.0.0.1 : 49250
Connected to : 127.0.0.1 : 49255
Connected to : 127.0.0.1 : 49258
Connected to : 127.0.0.1 : 49266
Connected to : 127.0.0.1 : 49271
Connected to : 127.0.0.1 : 49277
Connected to : 127.0.0.1 : 49282
Connected to : 127.0.0.1 : 49288
Connected to : 127.0.0.1 : 49294
Connected to : 127.0.0.1 : 49300
Connected to : 127.0.0.1 : 49307
Connected to : 127.0.0.1 : 49331
Connected to : 127.0.0.1 : 49333
Connected to : 127.0.0.1 : 49336
Connected to : 127.0.0.1 : 49339
Connected to : 127.0.0.1 : 49342
Connected to : 127.0.0.1 : 49362
Connected to : 127.0.0.1 : 49364
Connected to : 127.0.0.1 : 49367
Connected to : 127.0.0.1 : 49370
Connected to : 127.0.0.1 : 49373
Connected to : 127.0.0.1 : 49390
Connected to : 127.0.0.1 : 49393
Connected to : 127.0.0.1 : 49396
Connected to : 127.0.0.1 : 49399
Connected to : 127.0.0.1 : 49402
Connected to : 127.0.0.1 : 49415
Connected to : 127.0.0.1 : 49422
Connected to : 127.0.0.1 : 49429
Connected to : 127.0.0.1 : 49433
Connected to : 127.0.0.1 : 49436
Connected to : 127.0.0.1 : 49439
Connected to : 127.0.0.1 : 49448
Connected to : 127.0.0.1 : 49459
Connected to : 127.0.0.1 : 49463
Connected to : 127.0.0.1 : 49467
Connected to : 127.0.0.1 : 49472
Connected to : 127.0.0.1 : 49477
Connected to : 127.0.0.1 : 49486
Connected to : 127.0.0.1 : 49491
Connected to : 127.0.0.1 : 49497
Connected to : 127.0.0.1 : 49504
Connected to : 127.0.0.1 : 49510
Connected to : 127.0.0.1 : 49518
Connected to : 127.0.0.1 : 49521
Connected to : 127.0.0.1 : 49526
Connected to : 127.0.0.1 : 49531
Connected to : 127.0.0.1 : 49537
Connected to : 127.0.0.1 : 49543
Connected to : 127.0.0.1 : 49549
Connected to : 127.0.0.1 : 49554
Connected to : 127.0.0.1 : 49559
Connected to : 127.0.0.1 : 49566
Connected to : 127.0.0.1 : 49573
Connected to : 127.0.0.1 : 49581
Connected to : 127.0.0.1 : 49586
Connected to : 127.0.0.1 : 49589
Connected to : 127.0.0.1 : 49597
Connected to : 127.0.0.1 : 49605
Connected to : 127.0.0.1 : 49610
Connected to : 127.0.0.1 : 49617
Connected to : 127.0.0.1 : 49622
Connected to : 127.0.0.1 : 49626
Connected to : 127.0.0.1 : 49631
Connected to : 127.0.0.1 : 49638
Connected to : 127.0.0.1 : 49648
Connected to : 127.0.0.1 : 49652
Connected to : 127.0.0.1 : 49655
Connected to : 127.0.0.1 : 49661
Connected to : 127.0.0.1 : 49671
Connected to : 127.0.0.1 : 49678
Connected to : 127.0.0.1 : 49681
Connected to : 127.0.0.1 : 49684
Connected to : 127.0.0.1 : 49688
Connected to : 127.0.0.1 : 49695
Connected to : 127.0.0.1 : 49703
Connected to : 127.0.0.1 : 49707
Connected to : 127.0.0.1 : 49712
Connected to : 127.0.0.1 : 49716
Connected to : 127.0.0.1 : 49721
Connected to : 127.0.0.1 : 49733
Connected to : 127.0.0.1 : 49737
Connected to : 127.0.0.1 : 49739
Connected to : 127.0.0.1 : 49746
Connected to : 127.0.0.1 : 49751
Connected to : 127.0.0.1 : 49762
Connected to : 127.0.0.1 : 49767
Connected to : 127.0.0.1 : 49774
Connected to : 127.0.0.1 : 49778
Connected to : 127.0.0.1 : 49783
Connected to : 127.0.0.1 : 49795
Connected to : 127.0.0.1 : 49801
Connected to : 127.0.0.1 : 49806
Connected to : 127.0.0.1 : 49809
Connected to : 127.0.0.1 : 49814
Connected to : 127.0.0.1 : 49820
Connected to : 127.0.0.1 : 49832
Connected to : 127.0.0.1 : 49838
