Frontendservice is down to find the leader node.
socket order service is listening
Connected to : 127.0.0.1 : 58996
Connected to : 127.0.0.1 : 59008
Connected to : 127.0.0.1 : 59032
Connected to : 127.0.0.1 : 59036
Connected to : 127.0.0.1 : 59044
Connected to : 127.0.0.1 : 59060
Connected to : 127.0.0.1 : 59064
Connected to : 127.0.0.1 : 59086
Connected to : 127.0.0.1 : 59102
Connected to : 127.0.0.1 : 59106
Connected to : 127.0.0.1 : 59114
Connected to : 127.0.0.1 : 59126
Connected to : 127.0.0.1 : 59136
Connected to : 127.0.0.1 : 59158
Connected to : 127.0.0.1 : 59162
Connected to : 127.0.0.1 : 59166
Connected to : 127.0.0.1 : 59188
Connected to : 127.0.0.1 : 59192
Connected to : 127.0.0.1 : 59202
Connected to : 127.0.0.1 : 59218
Connected to : 127.0.0.1 : 59222
Connected to : 127.0.0.1 : 59246
Connected to : 127.0.0.1 : 59254
Connected to : 127.0.0.1 : 59270
Connected to : 127.0.0.1 : 59274
Connected to : 127.0.0.1 : 59288
Connected to : 127.0.0.1 : 59304
Connected to : 127.0.0.1 : 59320
Connected to : 127.0.0.1 : 59324
Connected to : 127.0.0.1 : 59338
Connected to : 127.0.0.1 : 59342
Connected to : 127.0.0.1 : 59356
Connected to : 127.0.0.1 : 59372
Connected to : 127.0.0.1 : 59392
Connected to : 127.0.0.1 : 59396
Connected to : 127.0.0.1 : 59410
Connected to : 127.0.0.1 : 59424
Connected to : 127.0.0.1 : 59428
Connected to : 127.0.0.1 : 59442
Connected to : 127.0.0.1 : 59454
Connected to : 127.0.0.1 : 59476
Connected to : 127.0.0.1 : 59480
Connected to : 127.0.0.1 : 59484
Connected to : 127.0.0.1 : 59494
Connected to : 127.0.0.1 : 59510
Connected to : 127.0.0.1 : 59532
Connected to : 127.0.0.1 : 59536
Connected to : 127.0.0.1 : 59544
Connected to : 127.0.0.1 : 59552
Connected to : 127.0.0.1 : 59572
Connected to : 127.0.0.1 : 59584
Connected to : 127.0.0.1 : 59604
Connected to : 127.0.0.1 : 59608
Connected to : 127.0.0.1 : 59612
Connected to : 127.0.0.1 : 59630
Connected to : 127.0.0.1 : 59644
Connected to : 127.0.0.1 : 59662
Connected to : 127.0.0.1 : 59666
